Phase and Amplitude Scintillation Indices from KHO (78.147,16.038,0.522)

Satellite System: 0 = GPS, 1 = GLONASS, 2 = SBAS, 5 = GALILEO, 6 = COMPASS, 7 = QZSS, 8 = LBAND

Frequency: GLONASS frequency channel (-7 to +6) 

Signal Type for each Satellite System

GPS     : 1 = L1CA,     4 = L2Y,  5 = L2C, 6 = L2P,    7 = L5Q
GLONASS : 1 = L1CA,     3 = L2CA, 4 = L2P
SBAS    : 1 = L1CA,     2 = L5I
GALILEO : 1 = E1,       2 = E5A,  3 = E5B, 4 = ALTBOC, 5 = E6
COMPASS : 1 = E2
QZSS    : 1 = L1CA,     3 = L2C,  4 = L5Q
LBAND   : 1 = OMNISTAR, 2 = CDGPS

GPS Week: 2313,  Satellite System: 0

GPS TOW , PRN, Freq, SigType, Az , Elv , CNo , Lock Time, CMC Avg, CMC Std , S4 , S4 Cor, 1SecSigma, 3SecSigma, 10SecSigma, 30SecSigma, 60SecSigma , HHMM
 432420.00,30, 0, 7,137.71, 55.28, 53.74,10234.06, 254.431,  0.002,  0.031,  0.021,  0.048,  0.067,  0.087,  0.087,  0.087, 0007
 432420.00,14, 0, 1,159.04, 26.74, 46.24, 1964.40,  -3.942,  0.086,  0.126,  0.049,  0.068,  0.089,  0.128,  0.128,  0.128, 0007
 432420.00,14, 0, 7,159.04, 26.74, 48.99, 1964.74, 129.447,  0.005,  0.064,  0.036,  0.060,  0.083,  0.122,  0.122,  0.122, 0007
 432420.00,27, 0, 1, 16.74, 31.00, 45.83, 8265.88,  -4.908,  0.017,  0.067,  0.051,  0.072,  0.081,  0.096,  0.096,  0.096, 0007
 432420.00,27, 0, 7, 16.74, 31.00, 51.37, 8263.64, 113.069,  0.008,  0.044,  0.027,  0.047,  0.054,  0.065,  0.065,  0.065, 0007
 432420.00,13, 0, 1,228.54, 56.82, 52.52, 7836.49, -13.533,  0.021,  0.036,  0.024,  0.049,  0.068,  0.092,  0.092,  0.092, 0007
 432480.00, 7, 0, 1, 97.38, 35.57, 47.36,13502.98, -12.361,  0.094,  0.107,  0.043,  0.066,  0.084,  0.102,  0.102,  0.102, 0008
 432480.00,18, 0, 1,298.72, 28.61, 46.35, 9865.97,  -7.872,  0.025,  0.065,  0.048,  0.063,  0.075,  0.081,  0.081,  0.081, 0008
 432480.00,18, 0, 7,298.72, 28.61, 51.10, 9863.82, 151.149,  0.004,  0.052,  0.028,  0.048,  0.058,  0.063,  0.063,  0.063, 0008
 432480.00,23, 0, 1,331.26, 21.33, 44.42, 2386.04,  -4.363,  0.130,  0.171,  0.060,  0.071,  0.095,  0.115,  0.115,  0.115, 0008
 432480.00,23, 0, 7,331.26, 21.33, 50.19, 2386.34,  93.994,  0.020,  0.053,  0.031,  0.050,  0.083,  0.107,  0.108,  0.108, 0008
 432480.00, 8, 0, 1, 58.44, 33.02, 45.89, 5382.49,  -7.011,  0.014,  0.060,  0.051,  0.065,  0.077,  0.087,  0.087,  0.087, 0008
 432480.00, 8, 0, 7, 58.44, 33.02, 51.66, 5309.08,  91.850,  0.001,  0.046,  0.026,  0.048,  0.057,  0.065,  0.065,  0.065, 0008
 432480.00,15, 0, 1,271.32, 38.90, 49.91, 4957.18, -12.983,  0.019,  0.058,  0.032,  0.059,  0.074,  0.088,  0.088,  0.088, 0008
 432480.00, 5, 0, 1,217.32, 28.38, 46.23,13255.78, -13.558,  0.084,  0.071,  0.049,  0.063,  0.084,  0.099,  0.099,  0.099, 0008
 432480.00,30, 0, 1,137.00, 55.12, 50.93,10296.34, -17.469,  0.032,  0.040,  0.028,  0.058,  0.073,  0.085,  0.085,  0.085, 0008
 432480.00,30, 0, 7,137.00, 55.12, 53.98,10294.06, 254.435,  0.003,  0.040,  0.020,  0.047,  0.060,  0.073,  0.074,  0.074, 0008
